time,close,high,low,open,volumefrom,volumeto
1395792000,482.61,575.42,453.75,562.89,11601.52,6120768.13
1396051200,444.66,494.28,422.49,482.61,12293.96,5708147.39
1396310400,436.31,487.35,386.67,444.66,12375.29,5558530.2
1396569600,455.69,472.38,415.51,436.31,7314.9,3302121.82
1396828800,457.34,485.06,447.98,455.69,11742.07,5496850.35
1397088000,437.65,469.83,355.71,457.34,13999.02,6015907.44
1397347200,526.43,526.63,409.85,437.65,20596.42,9635276.12
1397606400,485.52,549.05,472,526.43,24422.09,12403054.75
1397865600,495.16,524.67,473.16,485.52,23411.96,11722820.44
1398124800,500.29,520.51,477.22,495.16,14652.97,7240400.62
1398384000,443.18,502.49,437.39,500.29,20300.5,9312689.13
1398643200,445.63,453.78,420.78,443.18,12348.39,5506839.48
1398902400,438.65,464.49,429.09,445.63,10152.82,4591303.66
1399161600,432.19,446.61,420.23,438.65,10600.78,4608629.64
1399420800,445.45,458.78,423.55,432.19,9841.1,4357928.59
1399680000,438.21,459.46,429.02,445.45,3724.51,1665613.86
1399939200,448.1,450.03,432.74,438.21,7021.36,3131084.63
1400198400,450.14,455.94,441.86,448.1,4912.55,2230216.91
1400457600,488.84,495.21,437.25,450.14,4644.94,2175206.35
1400716800,520.46,540.88,485.55,488.84,8745.58,4539205.2
1400976000,570.1,586.41,520.53,520.46,8185.61,4698192.44
1401235200,612.35,613.26,557.7,570.1,13509.92,7864680.88
1401494400,655.49,674.98,604.73,612.35,12096.28,7711995.21
1401753600,660.18,676.47,602.1,655.49,12719.03,8310363.33
1402012800,651.05,663.84,641.02,660.18,11318.27,7444846.66
1402272000,642.95,663.04,639.08,651.05,10617.72,6958336.97
1402531200,583.42,643.8,563.68,642.95,17131.33,10526269.73
1402790400,605.09,608.43,560.85,583.42,10933.63,6496574.76
1403049600,590.75,614.4,587.1,605.09,11067.34,6783574.82
1403308800,591.17,610.08,582.86,590.75,6972.46,4209416.28
1403568000,582.7,595.65,565.85,591.17,10316.08,6039337.01
1403827200,601.06,608.76,580.14,582.7,9219.76,5529989.43
1404086400,645.72,652.54,596.55,601.06,12723.39,8169977.3
1404345600,622.96,646.4,619.69,645.72,10859.39,6907558.28
1404604800,615.32,629.44,607.32,622.96,8436.93,5294086.09
1404864000,632.9,633.62,610.53,615.32,9795.11,6142853.43
1405123200,618.32,638.64,616.06,632.9,7690.22,4863689.14
1405382400,626.58,632.55,610.01,618.32,9612.54,6017230.28
1405641600,620.98,634.14,617.92,626.58,9608.66,6057260.5
1405900800,621.69,628.81,615.02,620.98,7982.32,5038426.55
1406160000,596,621.96,593.25,621.69,14138.87,8583908.21
1406419200,585.77,601.49,578.14,596,12580.99,7472893.8
1406678400,598.78,603.99,564.01,585.77,16551.73,9812084.66
1406937600,592.77,598.91,580.62,598.78,6801.45,4078899.57
1407196800,592.8,595.08,585.44,592.77,9599.48,5700269.61
1407456000,592.06,608.2,587.41,592.8,5861.95,3513346.5
1407715200,542.1,593.62,523.15,592.06,10712.98,6066564.93
1407974400,522.01,544.94,483.21,542.1,19518.04,9972712.03
1408233600,485.12,524.71,449.95,522.01,14642.54,7033679.44
1408492800,516.1,537.17,468.51,485.12,17559.17,9056919.4
1408752000,502.93,516.82,493.98,516.1,8402.1,4300594.17
1409011200,510.75,527.37,501.81,502.93,11781.63,6120507.58
1409270400,481.78,515.18,478.31,510.75,12367.87,6196869.04
1409529600,480.04,487.47,470.54,481.78,19677.36,9571690.1
1409788800,484.47,498.47,476.26,480.04,18636.14,9241446
1410048000,474.9,490.72,467.52,484.47,18992.09,9233340.06
1410307200,477.73,491.04,471.14,474.9,19728.04,9660253.64
1410566400,477.71,480.64,471.96,477.73,15110.24,7355045.18
1410825600,424.26,478.81,408.77,477.71,22951.89,10608725.4
1411084800,401.62,429.17,386.1,424.26,39679.5,16212111.34
1411344000,423.77,445.51,394.75,401.62,52820.37,22240627.87
1411603200,399.02,427.55,394.69,423.77,36477.44,15060296.71
1411862400,388.17,402.27,372.63,399.02,51542.78,19898530.7
1412121600,363.45,395.13,362.81,388.17,48839.77,18642521.53
1412380800,331.55,369.88,294.92,363.45,94058.69,31205396.43
1412640000,360.91,384.61,321.74,331.55,87534.74,30509556.51
1412899200,373.17,378.13,350.49,360.91,53564.4,19521736.99
1413158400,393.17,407.74,366.04,373.17,74927.22,29352431.49
1413417600,390.88,398.84,371.56,393.17,46799.56,17981947.74
1413676800,382.35,394.49,377.42,390.88,25543.13,9909998.08
1413936000,355.1,383.69,351.41,382.35,49686.93,18249378.67
1414195200,350.09,356.8,341.53,355.1,36224.22,12783622.37
1414454400,344.86,355.72,333.44,350.09,37815.68,13154414.22
1414713600,322.55,347.97,319.81,344.86,39675.08,13233312.32
1414972800,338.01,341.98,320.11,322.55,44386.52,14732888.93
1415232000,343.54,351.61,335.74,338.01,38855.24,13439089.69
1415491200,365.42,374.67,341.78,343.54,51223.22,18671392.16
1415750400,396.53,480.45,365.81,365.42,132460.55,55292737.37
1416009600,384.69,412.33,367.97,396.53,55280.04,21625408.88
1416268800,357.3,394.94,355.11,384.69,68945.41,26081736.16
1416528000,365.85,370.59,343.8,357.3,48824.81,17427980.7
1416787200,365.35,395.73,361.92,365.85,93861.8,35566184.19
1417046400,376.28,389.3,358.37,365.35,140316.59,53246041.93
1417305600,380.64,384.87,372.57,376.28,56248.03,21415244.95
1417564800,377.63,384.67,366.24,380.64,78825.51,29723492.32
1417824000,364.95,380.33,364.6,377.63,42802.24,16021853.68
1418083200,347.68,367.13,337.8,364.95,122041.59,43128478.67
1418342400,349.35,356.43,343.81,347.68,58735.74,20655663.08
1418601600,320.02,351.22,314.31,349.35,122088.95,40582565.16
1418860800,330.35,332.62,303.4,320.02,132148.28,41820879.28
1419120000,335.25,339.32,319.89,330.35,80099.5,26498322.03
1419379200,329.98,336.28,316.3,335.25,59918.48,19557658.93
1419638400,314.12,330.7,308.28,329.98,62401.41,19880602.68
1419897600,314.89,321.36,308.89,314.12,56094.05,17708973.2
1420156800,264.72,316.4,255.87,314.89,150864.65,43138928.6
1420416000,291.34,296.06,262.89,264.72,107599.53,29920187.18
1420675200,273.35,292.71,271.98,291.34,55832.17,15906872.85
1420934400,221.29,278.01,217.1,273.35,135994.01,33768028.18
1421193600,206.92,231.26,157.29,221.29,357670.03,71792892.25
1421452800,215.87,220.73,191.71,206.92,115077.53,23859140.01
